#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKAP12	STBD1	9606.ENSP00000384537	9606.ENSP00000237642	0	0	0	0	0	0	0.400	0	0.400
AKAP12	PLXNA1	9606.ENSP00000384537	9606.ENSP00000377061	0	0	0	0	0.059	0	0.400	0	0.411
AKAP12	CTNNB1	9606.ENSP00000384537	9606.ENSP00000495360	0	0	0	0	0.076	0.218	0	0.247	0.408
ARHGEF6	GNG11	9606.ENSP00000250617	9606.ENSP00000248564	0	0	0	0	0.058	0	0.500	0	0.508
ARHGEF6	GNGT1	9606.ENSP00000250617	9606.ENSP00000248572	0	0	0	0	0	0	0.500	0	0.499
ARHGEF6	RAC2	9606.ENSP00000250617	9606.ENSP00000249071	0	0	0	0	0.155	0.189	0.900	0.574	0.966
ARHGEF6	ITGB1	9606.ENSP00000250617	9606.ENSP00000379350	0	0	0	0	0.111	0	0	0.451	0.491
ARHGEF6	GNG10	9606.ENSP00000250617	9606.ENSP00000363411	0	0	0	0	0	0	0.500	0	0.499
ARHGEF6	GNG8	9606.ENSP00000250617	9606.ENSP00000300873	0	0	0	0	0	0	0.500	0	0.499
ARHGEF6	GNG5	9606.ENSP00000250617	9606.ENSP00000359675	0	0	0	0	0.042	0	0.500	0	0.500
ARHGEF6	GNG4	9606.ENSP00000250617	9606.ENSP00000398629	0	0	0	0	0	0	0.500	0.063	0.511
ARHGEF6	GNG12	9606.ENSP00000250617	9606.ENSP00000360021	0	0	0	0	0.047	0	0.500	0.084	0.525
ARHGEF6	MRAS	9606.ENSP00000250617	9606.ENSP00000289104	0	0	0	0	0	0.053	0.900	0.112	0.908
ARHGEF6	RAC3	9606.ENSP00000250617	9606.ENSP00000304283	0	0	0	0	0.110	0.189	0.900	0.114	0.927
ARHGEF6	PAK2	9606.ENSP00000250617	9606.ENSP00000314067	0	0	0	0	0.066	0.847	0.900	0.336	0.989
ARHGEF6	PAK3	9606.ENSP00000250617	9606.ENSP00000353864	0	0	0	0	0.105	0.414	0.900	0.886	0.993
ARHGEF6	PAK1	9606.ENSP00000250617	9606.ENSP00000278568	0	0	0	0	0.049	0.859	0.900	0.669	0.995
CDC42EP1	PIK3R2	9606.ENSP00000249014	9606.ENSP00000222254	0	0	0	0	0.062	0	0.400	0	0.413
CDC42EP1	STBD1	9606.ENSP00000249014	9606.ENSP00000237642	0	0	0	0	0.042	0	0.400	0	0.400
CDC42EP1	PIK3R3	9606.ENSP00000249014	9606.ENSP00000262741	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	PIK3R1	9606.ENSP00000249014	9606.ENSP00000428056	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	PAK3	9606.ENSP00000249014	9606.ENSP00000353864	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	TAOK3	9606.ENSP00000249014	9606.ENSP00000376317	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	PAK1	9606.ENSP00000249014	9606.ENSP00000278568	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	SWAP70	9606.ENSP00000249014	9606.ENSP00000315630	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	ITGB1	9606.ENSP00000249014	9606.ENSP00000379350	0	0	0	0	0	0	0.400	0	0.400
CDC42EP1	PAK2	9606.ENSP00000249014	9606.ENSP00000314067	0	0	0	0	0	0	0.400	0.138	0.460
CDC42EP1	RAC2	9606.ENSP00000249014	9606.ENSP00000249071	0	0	0	0	0.042	0.125	0.500	0.051	0.549
CDC42EP1	RAC3	9606.ENSP00000249014	9606.ENSP00000304283	0	0	0	0	0.074	0.125	0.500	0	0.559
COL4A5	ITGB1	9606.ENSP00000331902	9606.ENSP00000379350	0	0	0	0	0	0.051	0.650	0.498	0.818
CTNNB1	RAC2	9606.ENSP00000495360	9606.ENSP00000249071	0	0	0	0	0.072	0.151	0	0.378	0.468
CTNNB1	PIK3R3	9606.ENSP00000495360	9606.ENSP00000262741	0	0	0	0	0	0.050	0	0.534	0.538
CTNNB1	PAK1	9606.ENSP00000495360	9606.ENSP00000278568	0	0	0	0	0.071	0.076	0.500	0.374	0.695
CTNNB1	PAK2	9606.ENSP00000495360	9606.ENSP00000314067	0	0	0	0	0.084	0.076	0.500	0.185	0.609
CTNNB1	FYN	9606.ENSP00000495360	9606.ENSP00000346671	0	0	0	0	0.048	0.620	0.900	0.660	0.986
CTNNB1	PAK3	9606.ENSP00000495360	9606.ENSP00000353864	0	0	0	0	0.066	0.076	0.500	0.125	0.571
CTNNB1	NTRK3	9606.ENSP00000495360	9606.ENSP00000354207	0	0	0	0	0	0.150	0	0.373	0.444
CTNNB1	VAV3	9606.ENSP00000495360	9606.ENSP00000359073	0	0	0	0	0	0	0.500	0.227	0.596
CTNNB1	VAV2	9606.ENSP00000495360	9606.ENSP00000360916	0	0	0	0	0.049	0	0.500	0.324	0.650
CTNNB1	ITGB1	9606.ENSP00000495360	9606.ENSP00000379350	0	0	0	0	0.138	0	0	0.636	0.673
CTNNB1	AKAP12	9606.ENSP00000495360	9606.ENSP00000384537	0	0	0	0	0.076	0.218	0	0.247	0.408
CTNNB1	MAPK9	9606.ENSP00000495360	9606.ENSP00000394560	0	0	0	0	0.079	0.345	0	0.409	0.613
CTNNB1	PIK3R1	9606.ENSP00000495360	9606.ENSP00000428056	0	0	0	0	0.075	0.683	0	0.555	0.858
DAB1	PIK3R2	9606.ENSP00000360280	9606.ENSP00000222254	0	0	0	0	0	0	0.900	0.126	0.908
DAB1	PIK3R3	9606.ENSP00000360280	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0.126	0.908
DAB1	FYN	9606.ENSP00000360280	9606.ENSP00000346671	0	0	0	0	0	0.095	0.400	0.414	0.654
DAB1	PIK3CB	9606.ENSP00000360280	9606.ENSP00000501150	0	0	0	0	0.056	0	0.900	0	0.901
DAB1	PIK3CD	9606.ENSP00000360280	9606.ENSP00000366563	0	0	0	0	0.056	0	0.900	0	0.901
DAB1	PIK3R1	9606.ENSP00000360280	9606.ENSP00000428056	0	0	0	0	0	0	0.900	0.276	0.924
FYN	PIK3R2	9606.ENSP00000346671	9606.ENSP00000222254	0	0	0	0	0	0.330	0.900	0.389	0.955
FYN	RAC2	9606.ENSP00000346671	9606.ENSP00000249071	0	0	0	0	0.106	0.198	0.900	0.469	0.956
FYN	PIK3R3	9606.ENSP00000346671	9606.ENSP00000262741	0	0	0	0	0	0.293	0.900	0.186	0.937
FYN	PAK1	9606.ENSP00000346671	9606.ENSP00000278568	0	0	0	0.568	0.066	0.071	0.500	0.133	0.573
FYN	RAC3	9606.ENSP00000346671	9606.ENSP00000304283	0	0	0	0	0.074	0.110	0.900	0.148	0.920
FYN	PAK2	9606.ENSP00000346671	9606.ENSP00000314067	0	0	0	0.572	0.066	0.259	0.500	0.148	0.666
FYN	PIK3R6	9606.ENSP00000346671	9606.ENSP00000480157	0	0	0	0	0	0	0.500	0.042	0.500
FYN	MAPK9	9606.ENSP00000346671	9606.ENSP00000394560	0	0	0	0.568	0.054	0.094	0	0.480	0.515
FYN	PIP5K1C	9606.ENSP00000346671	9606.ENSP00000466363	0	0	0	0	0.054	0.062	0.500	0.086	0.540
FYN	PAK3	9606.ENSP00000346671	9606.ENSP00000353864	0	0	0	0.566	0.066	0.071	0.500	0.106	0.560
FYN	DAB1	9606.ENSP00000346671	9606.ENSP00000360280	0	0	0	0	0	0.095	0.400	0.414	0.654
FYN	VAV2	9606.ENSP00000346671	9606.ENSP00000360916	0	0	0	0.564	0.060	0.230	0.500	0.218	0.679
FYN	VAV3	9606.ENSP00000346671	9606.ENSP00000359073	0	0	0	0.565	0.060	0	0.500	0.493	0.741
FYN	PLXNA3	9606.ENSP00000346671	9606.ENSP00000358696	0	0	0	0	0.055	0.071	0.900	0.191	0.919
FYN	PLXNA4	9606.ENSP00000346671	9606.ENSP00000352882	0	0	0	0	0.075	0.071	0.900	0.195	0.921
FYN	PLXNA1	9606.ENSP00000346671	9606.ENSP00000377061	0	0	0	0	0.055	0.071	0.900	0.225	0.922
FYN	ITGB1	9606.ENSP00000346671	9606.ENSP00000379350	0	0	0	0	0.063	0.071	0	0.918	0.923
FYN	PLXNA2	9606.ENSP00000346671	9606.ENSP00000356000	0	0	0	0	0.055	0.071	0.900	0.256	0.925
FYN	PIK3CD	9606.ENSP00000346671	9606.ENSP00000366563	0	0	0	0	0.103	0.069	0.900	0.333	0.936
FYN	PLCG2	9606.ENSP00000346671	9606.ENSP00000482457	0	0	0	0.560	0.060	0.301	0.800	0.570	0.936
FYN	PIK3CB	9606.ENSP00000346671	9606.ENSP00000501150	0	0	0	0	0	0.069	0.900	0.525	0.951
FYN	CTNNB1	9606.ENSP00000346671	9606.ENSP00000495360	0	0	0	0	0.048	0.620	0.900	0.660	0.986
FYN	PIK3R1	9606.ENSP00000346671	9606.ENSP00000428056	0	0	0	0	0.064	0.713	0.900	0.629	0.988
GNG10	PIK3R2	9606.ENSP00000363411	9606.ENSP00000222254	0	0	0	0	0	0	0.650	0	0.650
GNG10	GNG11	9606.ENSP00000363411	9606.ENSP00000248564	0	0	0	0	0.064	0	0.540	0.982	0.991
GNG10	GNGT1	9606.ENSP00000363411	9606.ENSP00000248572	0	0	0	0	0	0	0.540	0.290	0.659
GNG10	RAC2	9606.ENSP00000363411	9606.ENSP00000249071	0	0	0	0	0.049	0	0.650	0	0.652
GNG10	ARHGEF6	9606.ENSP00000363411	9606.ENSP00000250617	0	0	0	0	0	0	0.500	0	0.499
GNG10	PIK3R3	9606.ENSP00000363411	9606.ENSP00000262741	0	0	0	0	0	0	0.650	0	0.650
GNG10	PAK1	9606.ENSP00000363411	9606.ENSP00000278568	0	0	0	0	0	0	0.500	0	0.499
GNG10	MRAS	9606.ENSP00000363411	9606.ENSP00000289104	0	0	0	0	0	0	0.650	0	0.650
GNG10	GNG8	9606.ENSP00000363411	9606.ENSP00000300873	0	0	0	0.908	0	0	0.540	0.069	0.553
